#,Country,Name,Bitcoin,In USD,/21M
1,🇺🇸,Block.one,"₿ 164,000","$11,597M",0.781%
2,🇻🇬,Tether Holdings Limited,"₿ 96,184","$6,802M",0.458%
3,🇺🇸,Stone Ridge Holdings Group,"₿ 10,000",$707M,0.048%
4,🇺🇸,SpaceX 🥬 🙌,"₿ 8,285",$586M,0.039%
5,🇨🇭,The Tezos Foundation,"₿ 2,903",$205M,0.014%
6,🇺🇸,Ionic Digital Inc.,"₿ 2,662",$188M,0.013%
7,🇺🇸,"Zap Solutions, Inc (Strike)","₿ 1,500",$106M,0.007%
8,🇺🇸,GIGA Inc.,"₿ 1,252",$89M,0.006%
9,🇫🇷,Melanion Digital,₿ 342,$24M,0.002%
10,🇺🇸,Steak 'n Shake,₿ 162,$11M,0.001%
11,🇧🇲,Meanwhile Incorporated,₿ 123,$9M,0.001%
12,🇩🇪,Evertz Pharma,₿ 100,$7M,0.000%
13,🇦🇷,Roxom Global,₿ 98,$7M,0.000%
14,🇬🇧,Real Bedford FC Ltd,₿ 83,$6M,0.000%
15,🇺🇸,"Circle Internet Group, Inc.",₿ 73,$5M,0.000%
16,🇨🇭,Relai,₿ 30,$2M,0.000%
17,🇺🇸,Stacking Sats Inc,₿ 27,$2M,0.000%
18,🇺🇸,Pepperoni Software,₿ 18,$1M,0.000%
19,🇲🇽,Arcadia₿,₿ 16,$1M,0.000%
20,🇨🇭,SayNode Operations AG,₿ 15,$1M,0.000%
21,🇨🇭,Bitcoin Association Switzerland,₿ 15,$1M,0.000%
22,🇺🇸,Occams Advisory Inc,₿ 15,$1M,0.000%
23,🇻🇬,JAN3,₿ 12,$1M,0.000%
24,🇺🇸,Boxabl Inc,₿ 10,$1M,0.000%
25,🇺🇸,Forager,₿ 8,$1M,0.000%
26,🇺🇸,"Laier Two Labs, Inc. (Satlantis)",₿ 8,$1M,0.000%
27,🇬🇧,Maillot Jaune Consulting Ltd,₿ 7,$1M,0.000%
28,🇺🇸,LunarCrush,₿ 6,$0M,0.000%
29,🇺🇸,Blockhenge,₿ 5,$0M,0.000%
30,🇺🇸,"Orange Pill App, Inc.",₿ 5,$0M,0.000%
31,🇺🇸,West Main Self Storage,₿ 4,$0M,0.000%
32,🇦🇺,Synergy Science,₿ 3,$0M,0.000%
33,🇺🇸,Whitepaper,₿ 3,$0M,0.000%
34,🇨🇦,Canurta Therapeutics,₿ 3,$0M,0.000%
35,🇦🇹,21BitcoinApp,₿ 3,$0M,0.000%
36,🇸🇪,Bitcoin Holding Sweden AB,₿ 3,$0M,0.000%
37,🇺🇸,"BTC Frame, Inc.",₿ 2,$0M,0.000%
38,🇦🇺,Cloud Ventures,₿ 2,$0M,0.000%
39,🇺🇸,Dufourfun Rentals LLC,₿ 2,$0M,0.000%
40,🇬🇧,Content Formula Ltd,₿ 2,$0M,0.000%
41,🇬🇧,Northern Health Ltd,₿ 2,$0M,0.000%
42,🇭🇺,KV Cégcsoport,₿ 2,$0M,0.000%
43,🇬🇧,BRULO,₿ 2,$0M,0.000%
44,🇺🇸,Glowal,₿ 2,$0M,0.000%
45,🇦🇹,klarkurs steuerberatung gmbh,₿ 1,$0M,0.000%
46,🇺🇸,ACK Eats (Delivery.com | Nantucket),₿ 1,$0M,0.000%
47,🇺🇸,"Newhedge, Inc.",₿ 1,$0M,0.000%
48,🇦🇹,Bergfahrten,₿ 1,$0M,0.000%
49,🇺🇸,San Antonio Elite Chiropractic,₿ 1,$0M,0.000%
50,🇺🇸,WFMU,₿ 1,$0M,0.000%
51,🇺🇸,Rainforest Foundation US,₿ 1,$0M,0.000%
52,🇺🇸,MetalMark,₿ 1,$0M,0.000%
53,🇮🇩,Bitcoin Centre Indonesia,₿ 1,$0M,0.000%
54,🇺🇸,SiliconAI Corporation,₿ 1,$0M,0.000%
55,🇺🇸,Crestmont Fabrics Ltd,₿ .8,$0M,0.000%
56,🇭🇺,Effex Solutions Kft.,₿ .6,$0M,0.000%
57,🇵🇱,Rocksoft,₿ .5,$0M,0.000%
58,🇺🇸,Jackson Dentistry and Dental Implants,₿ .5,$0M,0.000%
59,🇺🇸,ICAP BUYERS NETWORK LLC,₿ .5,$0M,0.000%
60,🇲🇾,kheAI,₿ .4,$0M,0.000%
61,🇨🇱,OrangePill Capital,₿ .3,$0M,0.000%
62,🇮🇳,Roots Education Private Limited,₿ .3,$0M,0.000%
63,🇦🇹,Leveler,₿ .3,$0M,0.000%
64,🇸🇰,ONYX:XYZ,₿ .3,$0M,0.000%
65,🇪🇸,Sobtree,₿ .3,$0M,0.000%
66,🇺🇸,RCD Physical Therapy,₿ .1,$0M,0.000%
67,🇺🇸,IRC Legal,₿ .1,$0M,0.000%
68,🇨🇦,King Tours,₿ .1,$0M,0.000%
69,🇺🇸,ABR WEALTH FUND,₿ 0,$0M,0.000%
70,🇺🇸,Altgeld Bitcoin Reserve (ABR),₿ 0,$0M,0.000%
71,🇧🇷,ssias,₿ 0,$0M,0.000%
72,🇦🇷,SR DURDEN,₿ 0,$0M,0.000%
73,🇺🇸,Disher Music Gear,₿ 0,$0M,0.000%
